Full Date,Month,Cases,Negative,Hospitalized,Deaths,Total
7/28/20,7,175124,2433528,1491,7462,2609894
7/27/20,7,173731,2396734,1383,7446,2571707
7/26/20,7,172655,2369479,1417,7416,2543376
7/25/20,7,171424,2340143,1394,7398,2512809
7/24/20,7,169883,2300840,1438,7397,2471965
7/23/20,7,168457,2264066,1471,7385,2433765
7/22/20,7,166925,2221268,1473,7367,2389368
7/21/20,7,165301,2183186,1456,7347,2349662
7/20/20,7,163703,2145151,1466,7324,2310029
7/19/20,7,162748,2116361,1410,7301,2280284
7/18/20,7,161575,2082936,1356,7295,2245686
7/17/20,7,160610,2051788,1360,7290,2213573
7/15/20,7,159334,2006965,1431,7272,2167474
7/15/20,7,157950,1964657,1434,7251,2123739
7/14/20,7,156693,1922908,1454,7226,2080733
7/13/20,7,155506,1885934,1416,7218,2042572
7/12/20,7,154799,1858195,1362,7193,2014126
7/11/20,7,153916,1829066,1342,7187,1984114
7/10/20,7,152962,1791126,1398,7168,1945220
7/9/20,7,151767,1759976,1436,7144,1912875
7/8/20,7,150450,1728306,1507,7119,1879878
7/7/20,7,149432,1693144,1385,7099,1843698
7/6/20,7,148452,1661382,1385,7063,1810956
7/5/20,7,147865,1634975,1395,7026,1783962
7/4/20,7,147251,1614455,1326,7020,1762828
7/3/20,7,146612,1587859,1346,7014,1735593
7/2/20,7,145750,1554885,1349,7005,1701757
7/1/20,7,144882,1521435,1651,6987,1667370
6/30/20,6,144013,1492042,1511,6951,1637108
6/29/20,6,143185,1459780,1560,6923,1604018
6/28/20,6,142461,1429435,1501,6902,1572949
6/27/20,6,141723,1403255,1464,6888,1546031
6/26/20,6,141077,1380112,1516,6873,1522242
6/25/20,6,140291,1350661,1516,6847,1492005
6/24/20,6,139434,1321093,1626,6810,1461527
6/23/20,6,138540,1290301,1614,6770,1429841
6/22/20,6,137825,1261685,1648,6707,1400510
6/21/20,6,137224,1241779,1628,6671,1380003
6/19/20,6,136762,1224022,1631,6647,1361784
6/19/20,6,136104,1200864,1696,6625,1337968
6/18/20,6,135470,1175533,1837,6580,1312003
6/17/20,6,134778,1149054,1878,6537,1284693
6/16/20,6,134185,1124143,1878,6485,1259189
6/15/20,6,133639,1094702,1939,6398,1229202
6/14/20,6,133016,1076596,1961,6326,1210473
6/13/20,6,132543,1058442,1914,6308,1191846
6/12/20,6,131871,1037074,2117,6289,1169806
6/11/20,6,131198,1015903,2209,6260,1147962
6/10/20,6,130603,991724,2365,6185,1123051
6/9/20,6,129837,970165,2458,6095,1100726
6/8/20,6,129212,949970,2573,6018,1079906
6/7/20,6,128415,930458,2496,5924,1059597
6/6/20,6,127757,915017,2550,5904,1042774
6/5/20,6,126890,895184,2702,5864,1022074
6/4/20,6,125915,875004,2911,5795,1000919
6/3/20,6,124759,857257,3044,5736,982016
6/2/20,6,123830,835345,3173,5621,959175
6/1/20,6,122848,811856,3238,5525,934704
5/31/20,5,121234,797039,3215,5412,918273
5/30/20,5,120260,777999,3296,5390,898259
5/29/20,5,118917,758188,3336,5330,877105
5/28/20,5,117455,734307,3599,5270,851762
5/27/20,5,115833,714133,3649,5186,829966
5/26/20,5,114306,689667,3826,5083,803973
5/25/20,5,113195,673599,3788,4923,786794
5/24/20,5,112017,657547,3762,4884,769564
5/23/20,5,110304,637617,3667,4856,747921
5/21/20,5,107796,614451,3753,4790,722247
5/21/20,5,105444,591689,3928,4715,697133
5/20/20,5,102686,569334,4107,4607,672020
5/19/20,5,100418,542295,3914,4525,642713
5/18/20,5,98030,523654,4002,4379,621684
5/17/20,5,96485,506756,4120,4234,603241
5/16/20,5,94191,487753,4190,4177,581944
5/15/20,5,92457,469192,4306,4129,561649
5/14/20,5,90369,448233,4367,4058,538602
5/13/20,5,87937,424100,4473,3928,512037
5/12/20,5,84698,404661,4563,3792,489359
5/11/20,5,83021,388670,4626,3601,471691
5/10/20,5,79007,363418,4319,N/A,442425
5/9/20,5,77741,352243,4293,N/A,429984
5/8/20,5,76085,340246,4739,N/A,416331
5/7/20,5,73760,325954,4750,N/A,399714
5/6/20,5,70873,308170,4862,N/A,379043
5/5/20,5,68232,293028,4832,N/A,361260
5/4/20,5,65962,280324,4780,N/A,346286
5/3/20,5,63840,269307,4493,N/A,333147
5/1/20,5,61499,257814,4701,N/A,319313
5/1/20,5,58505,241391,4717,N/A,299896
4/30/20,4,56055,228633,4900,N/A,284688
4/29/20,4,52918,216949,4953,N/A,269867
4/28/20,4,50355,206312,5036,N/A,256667
4/27/20,4,N/A,194087,4738,N/A,242189
4/26/20,4,N/A,181745,4672,N/A,227628
4/25/20,4,N/A,171049,4595,N/A,214952
4/24/20,4,N/A,159840,4699,N/A,201617
4/23/20,4,N/A,149974,4828,N/A,189632
4/22/20,4,N/A,136382,4877,N/A,173316
4/21/20,4,N/A,129238,4665,N/A,164346
4/20/20,4,N/A,121938,4776,N/A,154997
4/19/20,4,N/A,116850,4599,N/A,148358
4/18/20,4,N/A,112961,4314,N/A,143318
4/17/20,4,N/A,108244,4340,N/A,137404
4/16/20,4,N/A,102588,4454,N/A,130163
4/15/20,4,N/A,96856,4423,N/A,122589
4/14/20,4,N/A,92336,4283,N/A,116929
4/13/20,4,N/A,87369,4283,N/A,110616
4/12/20,4,N/A,83743,3680,N/A,105768
4/11/20,4,N/A,79883,3680,N/A,100735
4/10/20,4,N/A,72969,3680,N/A,92149
4/9/20,4,N/A,69640,3680,N/A,87527
4/8/20,4,N/A,64435,3680,N/A,80857
4/7/20,4,N/A,59988,3680,N/A,75066
4/6/20,4,N/A,55183,3680,N/A,68732
4/5/20,4,N/A,50680,N/A,N/A,62942
4/4/20,4,N/A,47727,N/A,N/A,58983
4/3/20,4,N/A,43224,N/A,N/A,53581
4/2/20,4,N/A,39144,N/A,N/A,48048
4/1/20,4,N/A,35961,N/A,N/A,43656
3/31/20,3,N/A,33404,N/A,N/A,40384
3/30/20,3,N/A,29231,N/A,N/A,35225
3/28/20,3,N/A,25389,N/A,N/A,30446
3/28/20,3,N/A,23166,N/A,N/A,27762
3/27/20,3,N/A,22000,N/A,N/A,25491
3/26/20,3,N/A,18516,N/A,N/A,21542
3/25/20,3,N/A,14093,N/A,N/A,16631
3/24/20,3,N/A,12344,N/A,N/A,14209
3/23/20,3,N/A,9934,N/A,N/A,11469
3/22/20,3,N/A,8583,N/A,N/A,9856
3/21/20,3,N/A,7271,N/A,N/A,8320
3/20/20,3,N/A,5488,N/A,N/A,6241
3/19/20,3,N/A,3696,N/A,N/A,4281
3/18/20,3,N/A,2725,N/A,N/A,3147
3/17/20,3,N/A,1763,N/A,N/A,2051
3/15/20,3,N/A,1340,N/A,N/A,1499
3/16/20,3,N/A,932,N/A,N/A,1025
3/13/20,3,N/A,449,N/A,N/A,708
3/12/20,3,N/A,316,N/A,N/A,444
3/11/20,3,N/A,294,N/A,N/A,418
3/10/20,3,N/A,266,N/A,N/A,367