Date,Fixed_Date,String_Date,Year,Month,Day,Full_Date,Month,Month_Date_Format,New Tests,Cases,Negative,Hospitalized,Deaths,Total
Tue Jul 28 2020,Jul 28 2020,Jul 28 2020,2020,7,28,7/28/20,202007,7/1/20,57397,412878,5271668,89995,25126,5684546
Mon Jul 27 2020,Jul 27 2020,Jul 27 2020,2020,7,27,7/27/20,202007,7/1/20,57270,412344,5214805,89995,25117,5627149
Sun Jul 26 2020,Jul 26 2020,Jul 26 2020,2020,7,26,7/26/20,202007,7/1/20,53568,411736,5158143,89995,25106,5569879
Sat Jul 25 2020,Jul 25 2020,Jul 25 2020,2020,7,25,7/25/20,202007,7/1/20,71466,411200,5105111,89995,25103,5516311
Fri Jul 24 2020,Jul 24 2020,Jul 24 2020,2020,7,24,7/24/20,202007,7/1/20,76507,410450,5034395,89995,25090,5444845
Thu Jul 23 2020,Jul 23 2020,Jul 23 2020,2020,7,23,7/23/20,202007,7/1/20,69698,409697,4958641,89995,25081,5368338
Wed Jul 22 2020,Jul 22 2020,Jul 22 2020,2020,7,22,7/22/20,202007,7/1/20,67659,408886,4889754,89995,25068,5298640
Tue Jul 21 2020,Jul 21 2020,Jul 21 2020,2020,7,21,7/21/20,202007,7/1/20,66169,408181,4822800,89995,25058,5230981
Mon Jul 20 2020,Jul 20 2020,Jul 20 2020,2020,7,20,7/20/20,202007,7/1/20,49342,407326,4757486,89995,25056,5164812
Sun Jul 19 2020,Jul 19 2020,Jul 19 2020,2020,7,19,7/19/20,202007,7/1/20,46204,406807,4708663,89995,25048,5115470
Sat Jul 18 2020,Jul 18 2020,Jul 18 2020,2020,7,18,7/18/20,202007,7/1/20,69817,406305,4662961,89995,25035,5069266
Fri Jul 17 2020,Jul 17 2020,Jul 17 2020,2020,7,17,7/17/20,202007,7/1/20,78239,405551,4593898,89995,25024,4999449
Thu Jul 16 2020,Jul 16 2020,Jul 16 2020,2020,7,16,7/16/20,202007,7/1/20,72685,404775,4516435,89995,25014,4921210
Wed Jul 15 2020,Jul 15 2020,Jul 15 2020,2020,7,15,7/15/20,202007,7/1/20,63598,404006,4444519,89995,25003,4848525
Tue Jul 14 2020,Jul 14 2020,Jul 14 2020,2020,7,14,7/14/20,202007,7/1/20,60045,403175,4381752,89995,24994,4784927
Mon Jul 13 2020,Jul 13 2020,Jul 13 2020,2020,7,13,7/13/20,202007,7/1/20,51687,402263,4322619,89995,24989,4724882
Sun Jul 12 2020,Jul 12 2020,Jul 12 2020,2020,7,12,7/12/20,202007,7/1/20,62418,401706,4271489,89995,24979,4673195
Sat Jul 11 2020,Jul 11 2020,Jul 11 2020,2020,7,11,7/11/20,202007,7/1/20,69203,401029,4209748,89995,24974,4610777
Fri Jul 10 2020,Jul 10 2020,Jul 10 2020,2020,7,10,7/10/20,202007,7/1/20,73558,400299,4141275,89995,24968,4541574
Thu Jul 9 2020,Jul 9 2020,Jul 9 2020,2020,7,9,7/9/20,202007,7/1/20,65564,399513,4068503,89995,24959,4468016
Wed Jul 8 2020,Jul 8 2020,Jul 8 2020,2020,7,8,7/8/20,202007,7/1/20,57585,398929,4003523,89995,24944,4402452
Tue Jul 7 2020,Jul 7 2020,Jul 7 2020,2020,7,7,7/7/20,202007,7/1/20,56736,398237,3946630,89995,24924,4344867
Mon Jul 6 2020,Jul 6 2020,Jul 6 2020,2020,7,6,7/6/20,202007,7/1/20,54328,397649,3890482,89995,24913,4288131
Sun Jul 5 2020,Jul 5 2020,Jul 5 2020,2020,7,5,7/5/20,202007,7/1/20,63415,397131,3836672,89995,24904,4233803
Sat Jul 4 2020,Jul 4 2020,Jul 4 2020,2020,7,4,7/4/20,202007,7/1/20,62403,396598,3773790,89995,24896,4170388
Fri Jul 3 2020,Jul 3 2020,Jul 3 2020,2020,7,3,7/3/20,202007,7/1/20,66392,395872,3712113,89995,24885,4107985
Thu Jul 2 2020,Jul 2 2020,Jul 2 2020,2020,7,2,7/2/20,202007,7/1/20,69945,394954,3646639,89995,24877,4041593
Wed Jul 1 2020,Jul 1 2020,Jul 1 2020,2020,7,1,7/1/20,202007,7/1/20,56710,394079,3577569,89995,24866,3971648
Tue Jun 30 2020,Jun 30 2020,Jun 30 2020,2020,6,30,6/30/20,202006,6/1/20,52025,393454,3521484,89995,24855,3914938
Mon Jun 29 2020,Jun 29 2020,Jun 29 2020,2020,6,29,6/29/20,202006,6/1/20,46428,392930,3469983,89995,24842,3862913
Sun Jun 28 2020,Jun 28 2020,Jun 28 2020,2020,6,28,6/28/20,202006,6/1/20,61906,392539,3423946,89995,24835,3816485
Sat Jun 27 2020,Jun 27 2020,Jun 27 2020,2020,6,27,6/27/20,202006,6/1/20,73262,391923,3362656,89995,24830,3754579
Fri Jun 26 2020,Jun 26 2020,Jun 26 2020,2020,6,26,6/26/20,202006,6/1/20,61723,391220,3290097,89995,24814,3681317
Thu Jun 25 2020,Jun 25 2020,Jun 25 2020,2020,6,25,6/25/20,202006,6/1/20,67642,390415,3229179,89995,24800,3619594
Wed Jun 24 2020,Jun 24 2020,Jun 24 2020,2020,6,24,6/24/20,202006,6/1/20,51144,389666,3162286,89995,24782,3551952
Tue Jun 23 2020,Jun 23 2020,Jun 23 2020,2020,6,23,6/23/20,202006,6/1/20,48709,389085,3111723,89995,24766,3500808
Mon Jun 22 2020,Jun 22 2020,Jun 22 2020,2020,6,22,6/22/20,202006,6/1/20,56780,388488,3063611,89995,24739,3452099
Sun Jun 21 2020,Jun 21 2020,Jun 21 2020,2020,6,21,6/21/20,202006,6/1/20,67526,387936,3007383,89995,24725,3395319
Sat Jun 20 2020,Jun 20 2020,Jun 20 2020,2020,6,20,6/20/20,202006,6/1/20,68830,387272,2940521,89995,24710,3327793
Fri Jun 19 2020,Jun 19 2020,Jun 19 2020,2020,6,19,6/19/20,202006,6/1/20,79303,386556,2872407,89995,24686,3258963
Thu Jun 18 2020,Jun 18 2020,Jun 18 2020,2020,6,18,6/18/20,202006,6/1/20,68541,385760,2793900,89995,24661,3179660
Wed Jun 17 2020,Jun 17 2020,Jun 17 2020,2020,6,17,6/17/20,202006,6/1/20,59341,385142,2725977,89995,24629,3111119
Tue Jun 16 2020,Jun 16 2020,Jun 16 2020,2020,6,16,6/16/20,202006,6/1/20,60568,384575,2667203,89995,24608,3051778
Mon Jun 15 2020,Jun 15 2020,Jun 15 2020,2020,6,15,6/15/20,202006,6/1/20,56611,383944,2607266,89995,24579,2991210
Sun Jun 14 2020,Jun 14 2020,Jun 14 2020,2020,6,14,6/14/20,202006,6/1/20,62359,383324,2551275,89995,24551,2934599
Sat Jun 13 2020,Jun 13 2020,Jun 13 2020,2020,6,13,6/13/20,202006,6/1/20,70840,382630,2489610,89995,24527,2872240
Fri Jun 12 2020,Jun 12 2020,Jun 12 2020,2020,6,12,6/12/20,202006,6/1/20,72395,381714,2419686,89995,24495,2801400
Thu Jun 11 2020,Jun 11 2020,Jun 11 2020,2020,6,11,6/11/20,202006,6/1/20,60839,380892,2348113,89995,24442,2729005
Wed Jun 10 2020,Jun 10 2020,Jun 10 2020,2020,6,10,6/10/20,202006,6/1/20,62297,380156,2288010,89995,24404,2668166
Tue Jun 9 2020,Jun 9 2020,Jun 9 2020,2020,6,9,6/9/20,202006,6/1/20,49973,379482,2226387,89995,24348,2605869
Mon Jun 8 2020,Jun 8 2020,Jun 8 2020,2020,6,8,6/8/20,202006,6/1/20,58054,378799,2177097,89995,24299,2555896
Sun Jun 7 2020,Jun 7 2020,Jun 7 2020,2020,6,7,6/7/20,202006,6/1/20,60435,378097,2119745,89995,24259,2497842
Sat Jun 6 2020,Jun 6 2020,Jun 6 2020,2020,6,6,6/6/20,202006,6/1/20,77895,377316,2060091,89995,24212,2437407
Fri Jun 5 2020,Jun 5 2020,Jun 5 2020,2020,6,5,6/5/20,202006,6/1/20,66480,376208,1983304,89995,24175,2359512
Thu Jun 4 2020,Jun 4 2020,Jun 4 2020,2020,6,4,6/4/20,202006,6/1/20,63559,375133,1917899,89995,24133,2293032
Wed Jun 3 2020,Jun 3 2020,Jun 3 2020,2020,6,3,6/3/20,202006,6/1/20,61642,374085,1855388,89995,24079,2229473
Tue Jun 2 2020,Jun 2 2020,Jun 2 2020,2020,6,2,6/2/20,202006,6/1/20,54054,373040,1794791,89861,24023,2167831
Mon Jun 1 2020,Jun 1 2020,Jun 1 2020,2020,6,1,6/1/20,202006,6/1/20,49952,371711,1742066,89703,23959,2113777
Sun May 31 2020,May 31 2020,May 31 2020,2020,5,31,5/31/20,202005,5/1/20,58444,370770,1693055,89590,23905,2063825
Sat May 30 2020,May 30 2020,May 30 2020,2020,5,30,5/30/20,202005,5/1/20,61251,369660,1635721,89400,23848,2005381
Fri May 29 2020,May 29 2020,May 29 2020,2020,5,29,5/29/20,202005,5/1/20,67341,368284,1575846,89194,23780,1944130
Thu May 28 2020,May 28 2020,May 28 2020,2020,5,28,5/28/20,202005,5/1/20,65245,366733,1510056,89042,23722,1876789
Wed May 27 2020,May 27 2020,May 27 2020,2020,5,27,5/27/20,202005,5/1/20,37416,364965,1446579,88866,23643,1811544
Tue May 26 2020,May 26 2020,May 26 2020,2020,5,26,5/26/20,202005,5/1/20,34679,363836,1410292,88686,23564,1774128
Mon May 25 2020,May 25 2020,May 25 2020,2020,5,25,5/25/20,202005,5/1/20,39623,362764,1376685,88554,23488,1739449
Sun May 24 2020,May 24 2020,May 24 2020,2020,5,24,5/24/20,202005,5/1/20,47765,361515,1338311,88324,23391,1699826
Sat May 23 2020,May 23 2020,May 23 2020,2020,5,23,5/23/20,202005,5/1/20,51268,359926,1292135,88083,23282,1652061
Fri May 22 2020,May 22 2020,May 22 2020,2020,5,22,5/22/20,202005,5/1/20,45738,358154,1242639,87843,23195,1600793
Thu May 21 2020,May 21 2020,May 21 2020,2020,5,21,5/21/20,202005,5/1/20,49219,356458,1198597,87638,23083,1555055
Wed May 20 2020,May 20 2020,May 20 2020,2020,5,20,5/20/20,202005,5/1/20,38097,354370,1151466,87459,22976,1505836
Tue May 19 2020,May 19 2020,May 19 2020,2020,5,19,5/19/20,202005,5/1/20,28182,352845,1114894,87169,22843,1467739
Mon May 18 2020,May 18 2020,May 18 2020,2020,5,18,5/18/20,202005,5/1/20,26161,351371,1088186,86901,22729,1439557
Sun May 17 2020,May 17 2020,May 17 2020,2020,5,17,5/17/20,202005,5/1/20,34679,350121,1063275,86575,22619,1413396
Sat May 16 2020,May 16 2020,May 16 2020,2020,5,16,5/16/20,202005,5/1/20,40669,348232,1030485,86207,22478,1378717
Fri May 15 2020,May 15 2020,May 15 2020,2020,5,15,5/15/20,202005,5/1/20,39291,345813,992235,85782,22304,1338048
Thu May 14 2020,May 14 2020,May 14 2020,2020,5,14,5/14/20,202005,5/1/20,39850,343051,955706,85454,22170,1298757
Wed May 13 2020,May 13 2020,May 13 2020,2020,5,13,5/13/20,202005,5/1/20,33794,340661,918246,85008,22013,1258907
Tue May 12 2020,May 12 2020,May 12 2020,2020,5,12,5/12/20,202005,5/1/20,20462,338485,886628,84489,21845,1225113
Mon May 11 2020,May 11 2020,May 11 2020,2020,5,11,5/11/20,202005,5/1/20,21653,337055,867596,84194,21640,1204651
Sun May 10 2020,May 10 2020,May 10 2020,2020,5,10,5/10/20,202005,5/1/20,29230,335395,847603,83761,21478,1182998
Sat May 9 2020,May 9 2020,May 9 2020,2020,5,9,5/9/20,202005,5/1/20,32225,333122,820646,83285,21271,1153768
Fri May 8 2020,May 8 2020,May 8 2020,2020,5,8,5/8/20,202005,5/1/20,31627,330407,791136,82730,21045,1121543
Thu May 7 2020,May 7 2020,May 7 2020,2020,5,7,5/7/20,202005,5/1/20,33995,327649,762267,82197,20828,1089916
Wed May 6 2020,May 6 2020,May 6 2020,2020,5,6,5/6/20,202005,5/1/20,27022,323978,731943,81570,19877,1055921
Tue May 5 2020,May 5 2020,May 5 2020,2020,5,5,5/5/20,202005,5/1/20,21589,321192,707707,80918,19645,1028899
Mon May 4 2020,May 4 2020,May 4 2020,2020,5,4,5/4/20,202005,5/1/20,21399,318953,688357,80376,19415,1007310
Sun May 3 2020,May 3 2020,May 3 2020,2020,5,3,5/3/20,202005,5/1/20,26840,316415,669496,79768,19189,985911
Sat May 2 2020,May 2 2020,May 2 2020,2020,5,2,5/2/20,202005,5/1/20,31633,312977,646094,78942,18909,959071
Fri May 1 2020,May 1 2020,May 1 2020,2020,5,1,5/1/20,202005,5/1/20,26802,308314,619124,78224,18610,927438
Thu Apr 30 2020,Apr 30 2020,Apr 30 2020,2020,4,30,4/30/20,202004,4/1/20,28155,304372,596264,77400,18321,900636
Wed Apr 29 2020,Apr 29 2020,Apr 29 2020,2020,4,29,4/29/20,202004,4/1/20,27487,299691,572790,76450,18015,872481
Tue Apr 28 2020,Apr 28 2020,Apr 28 2020,2020,4,28,4/28/20,202004,4/1/20,18899,295106,549888,75362,17638,844994
Mon Apr 27 2020,Apr 27 2020,Apr 27 2020,2020,4,27,4/27/20,202004,4/1/20,20745,291996,534099,74602,17303,826095
Sun Apr 26 2020,Apr 26 2020,Apr 26 2020,2020,4,26,4/26/20,202004,4/1/20,27782,288045,517305,73540,16966,805350
Sat Apr 25 2020,Apr 25 2020,Apr 25 2020,2020,4,25,4/25/20,202004,4/1/20,46912,282143,495425,72444,16599,777568
Fri Apr 24 2020,Apr 24 2020,Apr 24 2020,2020,4,24,4/24/20,202004,4/1/20,34736,271590,459066,71373,16162,730656
Thu Apr 23 2020,Apr 23 2020,Apr 23 2020,2020,4,23,4/23/20,202004,4/1/20,25938,263460,432460,70182,15740,695920
Wed Apr 22 2020,Apr 22 2020,Apr 22 2020,2020,4,22,4/22/20,202004,4/1/20,20657,257216,412766,68773,15302,669982
Tue Apr 21 2020,Apr 21 2020,Apr 21 2020,2020,4,21,4/21/20,202004,4/1/20,15464,251690,397635,67271,14828,649325
Mon Apr 20 2020,Apr 20 2020,Apr 20 2020,2020,4,20,4/20/20,202004,4/1/20,16306,247512,386349,65969,14347,633861
Sun Apr 19 2020,Apr 19 2020,Apr 19 2020,2020,4,19,4/19/20,202004,4/1/20,21023,242786,374769,64550,13869,617555
Sat Apr 18 2020,Apr 18 2020,Apr 18 2020,2020,4,18,4/18/20,202004,4/1/20,23309,236732,359800,63103,13362,596532
Fri Apr 17 2020,Apr 17 2020,Apr 17 2020,2020,4,17,4/17/20,202004,4/1/20,22644,229642,343581,61120,12822,573223
Thu Apr 16 2020,Apr 16 2020,Apr 16 2020,2020,4,16,4/16/20,202004,4/1/20,24567,222284,328295,59052,12192,550579
Wed Apr 15 2020,Apr 15 2020,Apr 15 2020,2020,4,15,4/15/20,202004,4/1/20,26869,213779,312233,56968,11586,526012
Tue Apr 14 2020,Apr 14 2020,Apr 14 2020,2020,4,14,4/14/20,202004,4/1/20,20786,202208,296935,54653,10834,499143
Mon Apr 13 2020,Apr 13 2020,Apr 13 2020,2020,4,13,4/13/20,202004,4/1/20,16756,195031,283326,52936,10056,478357
Sun Apr 12 2020,Apr 12 2020,Apr 12 2020,2020,4,12,4/12/20,202004,4/1/20,20621,188694,272907,50919,9385,461601
Sat Apr 11 2020,Apr 11 2020,Apr 11 2020,2020,4,11,4/11/20,202004,4/1/20,23095,180458,260522,48297,8627,440980
Fri Apr 10 2020,Apr 10 2020,Apr 10 2020,2020,4,10,4/10/20,202004,4/1/20,26336,170512,247373,45768,7844,417885
Thu Apr 9 2020,Apr 9 2020,Apr 9 2020,2020,4,9,4/9/20,202004,4/1/20,26396,159937,231612,42852,7067,391549
Wed Apr 8 2020,Apr 8 2020,Apr 8 2020,2020,4,8,4/8/20,202004,4/1/20,25095,149316,215837,39982,6268,365153
Tue Apr 7 2020,Apr 7 2020,Apr 7 2020,2020,4,7,4/7/20,202004,4/1/20,19247,138863,201195,36932,5489,340058
Mon Apr 6 2020,Apr 6 2020,Apr 6 2020,2020,4,6,4/6/20,202004,4/1/20,18531,130689,190122,34377,4758,320811
Sun Apr 5 2020,Apr 5 2020,Apr 5 2020,2020,4,5,4/5/20,202004,4/1/20,18659,122031,180249,32293,4159,302280
Sat Apr 4 2020,Apr 4 2020,Apr 4 2020,2020,4,4,4/4/20,202004,4/1/20,23101,113704,169917,29471,3565,283621
Fri Apr 3 2020,Apr 3 2020,Apr 3 2020,2020,4,3,4/3/20,202004,4/1/20,21555,102863,157657,26210,2935,260520
Thu Apr 2 2020,Apr 2 2020,Apr 2 2020,2020,4,2,4/2/20,202004,4/1/20,18085,92381,146584,22786,2373,238965
Wed Apr 1 2020,Apr 1 2020,Apr 1 2020,2020,4,1,4/1/20,202004,4/1/20,15694,83712,137168,19929,1941,220880
Tue Mar 31 2020,Mar 31 2020,Mar 31 2020,2020,3,31,3/31/20,202003,3/1/20,18718,75795,129391,17085,1550,205186
Mon Mar 30 2020,Mar 30 2020,Mar 30 2020,2020,3,30,3/30/20,202003,3/1/20,14108,66497,119971,14578,1218,186468
Sun Mar 29 2020,Mar 29 2020,Mar 29 2020,2020,3,29,3/29/20,202003,3/1/20,16426,59513,112847,12695,965,172360
Sat Mar 28 2020,Mar 28 2020,Mar 28 2020,2020,3,28,3/28/20,202003,3/1/20,10181,52318,103616,10454,728,155934
Fri Mar 27 2020,Mar 27 2020,Mar 27 2020,2020,3,27,3/27/20,202003,3/1/20,23649,44635,101118,8732,519,145753
Thu Mar 26 2020,Mar 26 2020,Mar 26 2020,2020,3,26,3/26/20,202003,3/1/20,18625,37258,84846,6921,385,122104
Wed Mar 25 2020,Mar 25 2020,Mar 25 2020,2020,3,25,3/25/20,202003,3/1/20,12209,30811,72668,5126,285,103479
Tue Mar 24 2020,Mar 24 2020,Mar 24 2020,2020,3,24,3/24/20,202003,3/1/20,12981,25665,65605,4041,210,91270
Mon Mar 23 2020,Mar 23 2020,Mar 23 2020,2020,3,23,3/23/20,202003,3/1/20,16888,20875,57414,3125,114,78289
Sun Mar 22 2020,Mar 22 2020,Mar 22 2020,2020,3,22,3/22/20,202003,3/1/20,15964,15168,46233,2354,114,61401
Sat Mar 21 2020,Mar 21 2020,Mar 21 2020,2020,3,21,3/21/20,202003,3/1/20,13010,10356,35081,1531,44,45437
Fri Mar 20 2020,Mar 20 2020,Mar 20 2020,2020,3,20,3/20/20,202003,3/1/20,10143,7102,25325,N/A,35,32427
Thu Mar 19 2020,Mar 19 2020,Mar 19 2020,2020,3,19,3/19/20,202003,3/1/20,7687,4152,18132,N/A,12,22284
Wed Mar 18 2020,Mar 18 2020,Mar 18 2020,2020,3,18,3/18/20,202003,3/1/20,7391,2382,12215,N/A,12,14597
Tue Mar 17 2020,Mar 17 2020,Mar 17 2020,2020,3,17,3/17/20,202003,3/1/20,1713,1700,5506,N/A,7,7206
Mon Mar 16 2020,Mar 16 2020,Mar 16 2020,2020,3,16,3/16/20,202003,3/1/20,221,950,4543,N/A,7,5493
Sun Mar 15 2020,Mar 15 2020,Mar 15 2020,2020,3,15,3/15/20,202003,3/1/20,1969,729,4543,N/A,3,5272
Sat Mar 14 2020,Mar 14 2020,Mar 14 2020,2020,3,14,3/14/20,202003,3/1/20,103,524,2779,N/A,N/A,3303
Fri Mar 13 2020,Mar 13 2020,Mar 13 2020,2020,3,13,3/13/20,202003,3/1/20,2892,421,2779,N/A,N/A,3200
Thu Mar 12 2020,Mar 12 2020,Mar 12 2020,2020,3,12,3/12/20,202003,3/1/20,0,216,92,N/A,N/A,308
Wed Mar 11 2020,Mar 11 2020,Mar 11 2020,2020,3,11,3/11/20,202003,3/1/20,43,216,92,N/A,N/A,308
Tue Mar 10 2020,Mar 10 2020,Mar 10 2020,2020,3,10,3/10/20,202003,3/1/20,31,173,92,N/A,N/A,265
Mon Mar 9 2020,Mar 9 2020,Mar 9 2020,2020,3,9,3/9/20,202003,3/1/20,37,142,92,N/A,N/A,234
Sun Mar 8 2020,Mar 8 2020,Mar 8 2020,2020,3,8,3/8/20,202003,3/1/20,29,105,92,N/A,N/A,197
Sat Mar 7 2020,Mar 7 2020,Mar 7 2020,2020,3,7,3/7/20,202003,3/1/20,43,76,92,N/A,N/A,168
Fri Mar 6 2020,Mar 6 2020,Mar 6 2020,2020,3,6,3/6/20,202003,3/1/20,27,33,92,N/A,N/A,125
Thu Mar 5 2020,Mar 5 2020,Mar 5 2020,2020,3,5,3/5/20,202003,3/1/20,44,22,76,N/A,N/A,98
Wed Mar 4 2020,Mar 4 2020,Mar 4 2020,2020,3,4,3/4/20,202003,3/1/20,0,6,48,N/A,N/A,54